task,file,filesize,status,memory,params,cost,score,error
task336,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task336.onnx,6455,ok,4484,262,4746.0,16.534942563004293,
task394,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task394.onnx,3787,ok,4718,35,4753.0,16.53346872338599,
task226,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task226.onnx,4625,ok,4608,151,4759.0,16.53220715887889,
task078,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task078.onnx,898,ok,4740,26,4766.0,16.53073734234131,
task136,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task136.onnx,2827,ok,4700,136,4836.0,16.516156788265317,
task028,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task028.onnx,2079,ok,4510,329,4839.0,16.51553663320668,
task356,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task356.onnx,2324,ok,4880,121,5001.0,16.482606828581098,
task010,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task010.onnx,6176,ok,4939,76,5015.0,16.479811299603966,
task321,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task321.onnx,2349,ok,5376,35,5411.0,16.403810802357263,
task353,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task353.onnx,3244,ok,5186,225,5411.0,16.403810802357263,
task060,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task060.onnx,2458,ok,5400,181,5581.0,16.372876749211567,
task355,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task355.onnx,1614,ok,5748,21,5769.0,16.339745965743113,
task027,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task027.onnx,2073,ok,5777,37,5814.0,16.331975918881177,
task273,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task273.onnx,1670,ok,5900,37,5937.0,16.311040765729324,
task030,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task030.onnx,3134,ok,5878,256,6134.0,16.278397655325804,
task247,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task247.onnx,2060,ok,6142,26,6168.0,16.272870084756832,
task239,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task239.onnx,1977,ok,6203,59,6262.0,16.25774509811365,
task292,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task292.onnx,1065,ok,6240,65,6305.0,16.250901751600978,
task388,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task388.onnx,6536,ok,6282,186,6468.0,16.225377779303003,
task248,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task248.onnx,8306,ok,4698,1812,6510.0,16.218905264797385,
task121,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task121.onnx,3339,ok,6484,46,6530.0,16.215837777729526,
task100,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task100.onnx,4954,ok,6493,43,6536.0,16.21491936346016,
task357,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task357.onnx,1767,ok,6532,40,6572.0,16.20942652084284,
task043,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task043.onnx,1776,ok,6680,138,6818.0,16.17267854730215,
task259,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task259.onnx,3882,ok,6793,50,6843.0,16.169018489047502,
task105,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task105.onnx,8053,ok,6987,68,7055.0,16.138508135713085,
task348,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task348.onnx,1950,ok,7068,139,7207.0,16.11719194507556,
task263,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task263.onnx,6815,ok,7190,43,7233.0,16.113590833150717,
